LINK_MODEL_BASED::ORIGINAL::Left Knee Angles
File	Frame	X 	Y 	Z 
Gait LB - CAST 1.c3d	1	18.162088	4.725989	-12.337853
 - 	2	19.863817	4.639131	-11.385347
 - 	3	21.684875	4.455694	-10.374933
 - 	4	23.612701	4.161387	-9.319784
 - 	5	25.619671	3.746106	-8.226559
 - 	6	27.663334	3.209036	-7.105891
 - 	7	29.692513	2.565558	-5.977538
 - 	8	31.656933	1.851066	-4.864653
 - 	9	33.516666	1.123415	-3.787248
 - 	10	35.247295	0.460516	-2.761179
 - 	11	36.838306	-0.057781	-1.801638
 - 	12	38.286873	-0.377541	-0.928859
 - 	13	39.591366	-0.484867	-0.175025
 - 	14	40.748344	-0.399639	0.411629
 - 	15	41.751766	-0.161692	0.773123
 - 	16	42.595173	0.182470	0.859334
 - 	17	43.276756	0.590434	0.646171
 - 	18	43.803925	1.030370	0.147365
 - 	19	44.194523	1.484096	-0.585644
 - 	20	44.473228	1.948327	-1.477278
 - 	21	44.666000	2.432632	-2.448110
 - 	22	44.795403	2.948726	-3.420350
 - 	23	44.880348	3.497709	-4.311962
 - 	24	44.939144	4.064579	-5.041271
 - 	25	44.991714	4.620126	-5.540334
 - 	26	45.058731	5.124895	-5.761282
 - 	27	45.158794	5.534904	-5.679500
 - 	28	45.305573	5.812860	-5.300903
 - 	29	45.506069	5.939927	-4.666973
 - 	30	45.760811	5.917181	-3.848567
 - 	31	46.066792	5.760148	-2.931277
 - 	32	46.422981	5.493495	-1.998127
 - 	33	46.835995	5.145720	-1.116939
 - 	34	47.322956	4.737988	-0.332712
 - 	35	47.912281	4.272582	0.332559
 - 	36	48.641624	3.734409	0.868337
 - 	37	49.552128	3.108900	1.260363
 - 	38	50.681858	2.408253	1.492775
 - 	39	52.060669	1.701438	1.564854
 - 	40	53.700790	1.129837	1.506387
 - 	41	55.577251	0.867533	1.378706
 - 	42	57.614178	1.024304	1.262145
 - 	43	59.701092	1.578434	1.235197
 - 	44	61.729046	2.402600	1.352907
 - 	45	63.617245	3.337254	1.629035
 - 	46	65.323097	4.244700	2.029956
 - 	47	66.844658	5.036479	2.485651
 - 	48	68.215378	5.682169	2.916085
 - 	49	69.486626	6.199511	3.260443
 - 	50	70.703957	6.629506	3.495930
 - 	51	71.891319	7.008483	3.641347
 - 	52	73.050194	7.351162	3.747245
 - 	53	74.168694	7.649285	3.874610
 - 	54	75.232239	7.881864	4.070334
 - 	55	76.230087	8.028311	4.350746
 - 	56	77.157982	8.078663	4.697429
 - 	57	78.018021	8.037378	5.065483
 - 	58	78.815765	7.920520	5.398560
 - 	59	79.555901	7.746929	5.646460
 - 	60	80.238609	7.528561	5.776680
 - 	61	80.860672	7.266796	5.778374
 - 	62	81.418861	6.956269	5.660324
 - 	63	81.912102	6.592282	5.448119
 - 	64	82.340660	6.177740	5.179190
 - 	65	82.703644	5.726548	4.895764
 - 	66	82.997543	5.261352	4.634521
 - 	67	83.215065	4.806592	4.418162
 - 	68	83.345833	4.381123	4.251163
 - 	69	83.377831	3.993216	4.121596
 - 	70	83.299316	3.639745	4.007323
 - 	71	83.099655	3.310269	3.884762
 - 	72	82.767708	2.993115	3.737236
 - 	73	82.289246	2.679746	3.559992
 - 	74	81.644203	2.365459	3.360490
 - 	75	80.805428	2.047632	3.154967
 - 	76	79.738625	1.724590	2.963378
 - 	77	78.403313	1.394726	2.804669
 - 	78	76.754074	1.055663	2.693581
 - 	79	74.741142	0.702583	2.640557
 - 	80	72.312271	0.328022	2.653649
 - 	81	69.415764	-0.072518	2.739755
 - 	82	66.003624	-0.483922	2.898998
 - 	83	62.033478	-0.850397	3.105112
 - 	84	57.470989	-1.076393	3.276025
 - 	85	52.294182	-1.066882	3.260188
 - 	86	46.507874	-0.775586	2.853922
 - 	87	40.178173	-0.225491	1.841018
 - 	88	33.478996	0.498383	0.052934
 - 	89	26.727144	1.271967	-2.547779
 - 	90	20.378197	1.973421	-5.794275
 - 	91	14.966150	2.536724	-9.322673
 - 	92	10.989964	2.973801	-12.691062
 - 	93	8.779770	3.334726	-15.539878
 - 	94	8.396013	3.647021	-17.674917
