LINK_MODEL_BASED::ORIGINAL::Left Ankle Angles
File	Frame	X 	Y 	Z 
Gait LB - CAST 1.c3d	1	3.820103	18.689135	0.735766
 - 	2	4.107159	19.049971	1.244141
 - 	3	4.315259	19.452063	1.803516
 - 	4	4.398596	19.917263	2.423061
 - 	5	4.320823	20.481016	3.107943
 - 	6	4.061297	21.192766	3.857346
 - 	7	3.618066	22.110388	4.662718
 - 	8	3.010453	23.288486	5.502213
 - 	9	2.282727	24.757750	6.332892
 - 	10	1.507513	26.499239	7.088748
 - 	11	0.782939	28.432261	7.691884
 - 	12	0.218358	30.424009	8.073759
 - 	13	-0.090589	32.310219	8.195743
 - 	14	-0.091259	33.927601	8.062961
 - 	15	0.203486	35.157986	7.729645
 - 	16	0.714225	35.963387	7.291275
 - 	17	1.318021	36.388626	6.865949
 - 	18	1.884931	36.531052	6.568399
 - 	19	2.311617	36.500893	6.482964
 - 	20	2.542086	36.389641	6.641440
 - 	21	2.571653	36.254475	7.016046
 - 	22	2.437653	36.118767	7.530067
 - 	23	2.205682	35.983044	8.079129
 - 	24	1.955235	35.841053	8.555307
 - 	25	1.764882	35.691753	8.868835
 - 	26	1.699407	35.542248	8.961457
 - 	27	1.802145	35.403362	8.810551
 - 	28	2.095076	35.277142	8.425460
 - 	29	2.584688	35.138981	7.838058
 - 	30	3.267398	34.932327	7.091655
 - 	31	4.131790	34.587776	6.231110
 - 	32	5.160205	34.052860	5.294776
 - 	33	6.328330	33.306469	4.311740
 - 	34	7.599483	32.357971	3.305534
 - 	35	8.917387	31.248638	2.299939
 - 	36	10.205242	30.057577	1.321095
 - 	37	11.380196	28.896912	0.392909
 - 	38	12.383492	27.885881	-0.475372
 - 	39	13.205781	27.108900	-1.297613
 - 	40	13.884805	26.580538	-2.101640
 - 	41	14.475224	26.245907	-2.903893
 - 	42	15.018043	26.017138	-3.696188
 - 	43	15.532070	25.811615	-4.456563
 - 	44	16.021427	25.575815	-5.164806
 - 	45	16.482635	25.298210	-5.803708
 - 	46	16.907906	25.005701	-6.350548
 - 	47	17.288919	24.741083	-6.771021
 - 	48	17.620998	24.536015	-7.025405
 - 	49	17.903027	24.396172	-7.085678
 - 	50	18.134163	24.301880	-6.952820
 - 	51	18.314775	24.218895	-6.666282
 - 	52	18.452702	24.111828	-6.301196
 - 	53	18.568649	23.954727	-5.950855
 - 	54	18.693699	23.736774	-5.700309
 - 	55	18.859507	23.463448	-5.603772
 - 	56	19.087187	23.154024	-5.673673
 - 	57	19.381702	22.836357	-5.883867
 - 	58	19.733236	22.540600	-6.183570
 - 	59	20.123320	22.292692	-6.516478
 - 	60	20.532024	22.110159	-6.836361
 - 	61	20.944292	22.000425	-7.115200
 - 	62	21.353777	21.960726	-7.344233
 - 	63	21.763142	21.979666	-7.532626
 - 	64	22.180784	22.040077	-7.702986
 - 	65	22.616341	22.123194	-7.883624
 - 	66	23.076254	22.213322	-8.097655
 - 	67	23.560057	22.301302	-8.354359
 - 	68	24.058237	22.385521	-8.645271
 - 	69	24.552633	22.471804	-8.947533
 - 	70	25.019272	22.572083	-9.231252
 - 	71	25.432350	22.700445	-9.468497
 - 	72	25.767176	22.866726	-9.640064
 - 	73	26.001127	23.072025	-9.738355
 - 	74	26.112930	23.307777	-9.765480
 - 	75	26.081202	23.557577	-9.728032
 - 	76	25.883238	23.800760	-9.630898
 - 	77	25.494099	24.017658	-9.472285
 - 	78	24.885565	24.196320	-9.240772
 - 	79	24.023705	24.337545	-8.915481
 - 	80	22.864410	24.456112	-8.468751
 - 	81	21.348728	24.581621	-7.869905
 - 	82	19.399895	24.759626	-7.088842
 - 	83	16.922398	25.047495	-6.097494
 - 	84	13.805264	25.502903	-4.868920
 - 	85	9.933815	26.169949	-3.377614
 - 	86	5.214520	27.069395	-1.604540
 - 	87	-0.384009	28.191515	0.450667
 - 	88	-6.773092	29.490080	2.742177
 - 	89	-13.677024	30.889643	5.135797
 - 	90	-20.598022	32.309280	7.391436
 - 	91	-26.884365	33.657551	9.233180
 - 	92	-31.933430	34.767624	10.499838
 - 	93	-35.436306	35.380260	11.252989
 - 	94	-37.466549	35.298271	11.723619
 - 	95	-38.327938	34.575256	12.129185
 - 	96	-38.333942	33.520985	12.521583
 - 	97	-37.706062	32.536079	12.777195
 - 	98	-36.581062	31.932262	12.690722
 - 	99	-35.052174	31.838947	12.088153
 - 	100	-33.209030	32.200939	10.907853
 - 	101	-31.166788	32.830391	9.236967
 - 	102	-29.076031	33.485657	7.302235
 - 	103	-27.105251	33.955204	5.409860
 - 	104	-25.399776	34.118481	3.845759
 - 	105	-24.046696	33.964348	2.788278
 - 	106	-23.068663	33.566711	2.277556
 - 	107	-22.437464	33.039604	2.239308
 - 	108	-22.089703	32.495434	2.532666
 - 	109	-21.939575	32.023594	2.996868
 - 	110	-21.895372	31.685968	3.488494
 - 	111	-21.876894	31.517683	3.904630
 - 	112	-21.825729	31.529404	4.188376
 - 	113	-21.709532	31.710611	4.323651
 - 	114	-21.522860	32.033134	4.327398
 - 	115	-21.283665	32.456837	4.240428
 - 	116	-21.024948	32.937168	4.115537
 - 	117	-20.786049	33.434391	4.007034
 - 	118	-20.606239	33.922428	3.963677
 - 	119	-20.518774	34.395699	4.022762
 - 	120	-20.543938	34.865532	4.203527
 - 	121	-20.683926	35.347137	4.502614
 - 	122	-20.925003	35.847851	4.897773
 - 	123	-21.244495	36.362587	5.355434
 - 	124	-21.618635	36.875889	5.838632
 - 	125	-22.030109	37.368908	6.314725
 - 	126	-22.475863	37.825699	6.764254
 - 	127	-22.973923	38.236507	7.188861
 - 	128	-23.565775	38.594433	7.614980
 - 	129	-24.310022	38.888435	8.090886
 - 	130	-25.263899	39.097721	8.673072
 - 	131	-26.452328	39.187542	9.403512
 - 	132	-27.831999	39.111797	10.285236
 - 	133	-29.265350	38.821953	11.271274
 - 	134	-30.514359	38.282372	12.274310
 - 	135	-31.251028	37.486675	13.182557
 - 	136	-31.087156	36.470432	13.875176
