LINK_MODEL_BASED::PROCESSED::Left Ankle Angles_filtered
File	Frame	X 	Y 	Z 
Running trial 1.c3d	1	3.091926	0.996745	8.107531
 - 	2	6.199037	-0.911849	6.850142
 - 	3	9.159508	-2.359432	5.987279
 - 	4	11.817422	-3.193995	5.683352
 - 	5	14.052006	-3.560362	5.844287
 - 	6	15.855141	-3.682247	6.249853
 - 	7	17.284849	-3.714759	6.664276
 - 	8	18.348160	-3.726539	6.873587
 - 	9	18.957588	-3.707987	6.711010
 - 	10	18.998693	-3.556998	6.147519
 - 	11	18.411465	-3.106961	5.389852
 - 	12	17.191010	-2.252021	4.800680
 - 	13	15.335829	-1.068797	4.639294
 - 	14	12.835680	0.223465	4.888054
 - 	15	9.714808	1.423504	5.323931
 - 	16	6.067990	2.419348	5.699202
 - 	17	2.054315	3.113666	5.858935
 - 	18	-2.128946	3.386387	5.795348
 - 	19	-6.269789	3.195845	5.688615
 - 	20	-10.164547	2.666127	5.870494
 - 	21	-13.641646	2.050180	6.626356
 - 	22	-16.576416	1.665570	7.930402
 - 	23	-18.880348	1.817542	9.376609
 - 	24	-20.458048	2.596870	10.442053
 - 	25	-21.190611	3.708493	10.849543
 - 	26	-21.025024	4.661236	10.668369
 - 	27	-20.098864	5.196146	10.121579
 - 	28	-18.721951	5.439200	9.381911
 - 	29	-17.201324	5.627666	8.552926
 - 	30	-15.689835	5.792230	7.759732
 - 	31	-14.178949	5.755289	7.153257
 - 	32	-12.583587	5.400331	6.763361
 - 	33	-10.822203	4.877245	6.377367
 - 	34	-8.868421	4.495804	5.668821
 - 	35	-6.785696	4.418309	4.518456
 - 	36	-4.720937	4.508251	3.181437
 - 	37	-2.839713	4.539959	2.086673
 - 	38	-1.251817	4.508599	1.477024
 - 	39	0.021533	4.576357	1.261443
 - 	40	1.051912	4.728694	1.169962
 - 	41	1.983707	4.734970	0.991064
 - 	42	2.947192	4.512877	0.675000
 - 	43	3.945149	4.302528	0.280817
 - 	44	4.851451	4.390131	-0.116220
 - 	45	5.541358	4.813548	-0.446341
 - 	46	6.002323	5.405628	-0.611639
 - 	47	6.322269	6.016675	-0.497503
 - 	48	6.605288	6.625582	-0.052427
 - 	49	6.904783	7.307180	0.649496
 - 	50	7.207379	8.173222	1.434833
 - 	51	7.457626	9.294400	2.115151
 - 	52	7.616237	10.591196	2.540276
 - 	53	7.718208	11.867736	2.602244
 - 	54	7.818396	13.067086	2.271463
 - 	55	7.775450	14.353097	1.695117
 - 	56	7.126582	15.656723	1.253810
 - 	57	5.439329	16.183867	1.445085
 - 	58	3.000259	14.766487	2.563558
 - 	59	0.983492	10.960194	4.367594
 - 	60	0.616979	5.712934	6.113109
 - 	61	2.197321	0.793161	7.083148
 - 	62	5.055775	-2.481461	7.147889
 - 	63	8.283537	-3.989563	6.773357
 - 	64	11.277575	-4.469357	6.515931
 - 	65	13.789907	-4.666935	6.588202
 - 	66	15.773687	-4.855056	6.881705
 - 	67	17.254337	-4.956800	7.229557
 - 	68	18.257231	-4.868031	7.506306
 - 	69	18.780867	-4.595759	7.555949
 - 	70	18.800959	-4.173367	7.235775
 - 	71	18.275211	-3.543950	6.610021
 - 	72	17.136002	-2.605648	5.993786
 - 	73	15.303878	-1.369958	5.720407
 - 	74	12.743157	0.014616	5.888774
 - 	75	9.510527	1.408649	6.328852
 - 	76	5.741542	2.732459	6.745988
 - 	77	1.601770	3.845342	6.918361
 - 	78	-2.732821	4.523030	6.849365
 - 	79	-7.064383	4.640133	6.768219
 - 	80	-11.185051	4.324884	6.975817
 - 	81	-14.926725	3.935404	7.667367
 - 	82	-18.186474	3.896379	8.824413
 - 	83	-20.869747	4.417476	10.209715
 - 	84	-22.807564	5.268585	11.499963
 - 	85	-23.791153	5.961498	12.476854
 - 	86	-23.746243	6.244577	13.093248
 - 	87	-22.854982	6.314569	13.377699
 - 	88	-21.467894	6.528018	13.336592
 - 	89	-19.898220	7.031576	12.970018
 - 	90	-18.289679	7.669256	12.342872
 - 	91	-16.625254	8.126915	11.594822
 - 	92	-14.816957	8.148132	10.842180
 - 	93	-12.792781	7.692283	10.029499
 - 	94	-10.548691	6.931146	8.902225
 - 	95	-8.177966	6.094858	7.236291
 - 	96	-5.868797	5.337341	5.154557
 - 	97	-3.843649	4.749002	3.155524
 - 	98	-2.266575	4.413547	1.773812
 - 	99	-1.175971	4.369410	1.224598
 - 	100	-0.462117	4.570220	1.353148
 - 	101	0.095798	4.941132	1.835176
 - 	102	0.711018	5.394209	2.379237
