frame,Tronco LI,Tronco LI_FILT,Tronco LI_VEL,Tronco LI_ACC,Tronco LI_ERROR,Tronco LI_FLAG,Cadera LI,Cadera LI_FILT,Cadera LI_VEL,Cadera LI_ACC,Cadera LI_ERROR,Cadera LI_FLAG,Rodilla LI,Rodilla LI_FILT,Rodilla LI_VEL,Rodilla LI_ACC,Rodilla LI_ERROR,Rodilla LI_FLAG,Tobillo LI,Tobillo LI_FILT,Tobillo LI_VEL,Tobillo LI_ACC,Tobillo LI_ERROR,Tobillo LI_FLAG,Acromion I_x,Acromion I_x_FILT,Acromion I_x_VEL,Acromion I_x_ACC,Acromion I_x_ERROR,Acromion I_x_FLAG,Acromion I_y,Acromion I_y_FILT,Acromion I_y_VEL,Acromion I_y_ACC,Acromion I_y_ERROR,Acromion I_y_FLAG,Cadera I_x,Cadera I_x_FILT,Cadera I_x_VEL,Cadera I_x_ACC,Cadera I_x_ERROR,Cadera I_x_FLAG,Cadera I_y,Cadera I_y_FILT,Cadera I_y_VEL,Cadera I_y_ACC,Cadera I_y_ERROR,Cadera I_y_FLAG,Rodilla I_x,Rodilla I_x_FILT,Rodilla I_x_VEL,Rodilla I_x_ACC,Rodilla I_x_ERROR,Rodilla I_x_FLAG,Rodilla I_y,Rodilla I_y_FILT,Rodilla I_y_VEL,Rodilla I_y_ACC,Rodilla I_y_ERROR,Rodilla I_y_FLAG,Tobillo I_x,Tobillo I_x_FILT,Tobillo I_x_VEL,Tobillo I_x_ACC,Tobillo I_x_ERROR,Tobillo I_x_FLAG,Tobillo I_y,Tobillo I_y_FILT,Tobillo I_y_VEL,Tobillo I_y_ACC,Tobillo I_y_ERROR,Tobillo I_y_FLAG,Metatarso I_x,Metatarso I_x_FILT,Metatarso I_x_VEL,Metatarso I_x_ACC,Metatarso I_x_ERROR,Metatarso I_x_FLAG,Metatarso I_y,Metatarso I_y_FILT,Metatarso I_y_VEL,Metatarso I_y_ACC,Metatarso I_y_ERROR,Metatarso I_y_FLAG
201.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-4.103767519001472e-90,-3.9067484267653316e-55,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
202.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-7.10793384536143e-90,-5.855766497467523e-55,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
203.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.231130255700442e-89,-8.307709295076079e-55,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
204.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-2.132380153608429e-89,-1.1577728036225507e-54,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
205.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-3.693390767101326e-89,-1.601802160168e-54,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
206.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-6.397140460825288e-89,-2.2094631054919883e-54,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
207.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.108017230130398e-88,-3.043819940763499e-54,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
208.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.9191421382475863e-88,-4.191049259658212e-54,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,983.0,983.016976203386,13.115310281457024,86.00741367485239,0.0169762033859797,False,802.0,801.9929306486421,-13.0227812234684,18.68667812785739,0.0070693513579271,False,,,,,,True,,,,,,True,,,,,,True,,,,,,True
209.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-3.3240516903911944e-88,-5.769402718269736e-54,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,983.0,983.1026471675672,13.767961332869296,88.93610721128883,0.10264716756717,False,801.0,801.8233262443032,-12.826789258185164,18.052273907004817,0.823326244303189,False,,,,,,True,,,,,,True,,,,,,True,,,,,,True
210.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-5.75742641474276e-88,-7.941431768017606e-54,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,983.0,983.1988830348585,14.487556491776994,92.08978230562197,0.1988830348584542,False,801.0,801.7127311274563,-12.629667566003816,17.260106701956897,0.7127311274563226,False,,,,,,True,,,,,,True,,,,,,True,,,,,,True
211.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-9.972155071173584e-88,-1.093074920464555e-53,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,983.0,983.3155888288234,15.270700197508797,95.43958496567336,0.3155888288233655,False,802.0,801.6497623566958,-12.4556302120777,16.22943367635609,0.35023764330424,False,,,,,,True,,,,,,True,,,,,,True,,,,,,True
212.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.727227924422828e-87,-1.504506230737009e-53,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,983.2684285114238,983.4578694648168,16.08068425231852,98.834597827128,0.189440953392932,True,802.1724423921731,801.5720395472545,-12.3155096395352,14.90799714845525,0.6004028449186762,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
213.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-2.9916465213520754e-87,-2.0707853784390072e-53,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,983.6831539175369,983.6158838246572,16.895236077830834,102.09938341176402,0.067270092879653,True,801.6008021244146,801.4516666804845,-12.179767433980864,13.224396050373333,0.1491354439300494,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
214.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-5.181683773268485e-87,-2.8501974468892158e-53,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,984.0,983.7694929911398,17.729698464762357,104.95757005517224,0.2305070088601724,False,801.0,801.3166944974031,-12.010172534575425,11.065839077726022,0.3166944974030912,False,,,,,,True,,,,,,True,,,,,,True,,,,,,True
215.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-8.974939564056227e-87,-3.9229636367435333e-53,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,984.0543718753964,983.9061311041158,18.637038659899417,106.92682172657764,0.1482407712805979,True,800.8886326479171,801.2017242198004,-11.804741889477588,8.318094418867508,0.3130915718833194,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
216.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-1.5545051319805457e-86,-5.399498187889547e-53,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,984.0,984.03030971511,19.682802108295206,107.25003221849418,0.0303097151099791,False,801.0,801.1132475079107,-11.605546525015605,4.952153649568066,0.113247507910728,False,,,,,,True,,,,,,True,,,,,,True,,,,,,True
217.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-2.6924818692168684e-86,-7.43177281911874e-53,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,984.0,984.1562088879932,20.91029469463494,104.91483431809326,0.1562088879932162,False,801.0,801.0392923391368,-11.471732930321789,1.1025107142600246,0.0392923391367503,False,,,,,,True,,,,,,True,,,,,,True,,,,,,True
218.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-4.663515395941637e-86,-1.0228958399820753e-52,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,984.0,984.29818577452,22.31463147470573,98.7734963287825,0.2981857745199932,False,801.0,800.9693813126978,-11.448971260594533,-2.9119220305967404,0.0306186873021943,False,,,,,,True,,,,,,True,,,,,,True,,,,,,True
219.0,,,,,,True,,,,,,True,,,,,,True,,4.791698056481621,-8.077445607650606e-86,-1.4078953784661929e-52,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True,984.0932048774232,984.468455002282,23.834594749681425,87.73341375853941,0.3752501248587805,True,800.9787857295745,800.896864741526,-11.55462365041306,-6.634571347744261,0.0819209880485232,True,,,,,,True,,,,,,True,,,,,,True,,,,,,True
