LINK_MODEL_BASED::PROCESSED::Left Hip Angles
File	Frame	X 	Y 	Z 
Running trial 1.c3d	1	29.127151	2.585207	3.841440
 - 	2	28.863852	3.192160	4.442909
 - 	3	28.397720	3.598939	4.708969
 - 	4	27.615179	3.690871	4.509144
 - 	5	26.401115	3.428103	3.945153
 - 	6	24.695007	2.842228	3.287462
 - 	7	22.524267	2.006224	2.818021
 - 	8	19.986492	1.002058	2.688545
 - 	9	17.200603	-0.096205	2.883102
 - 	10	14.268252	-1.226093	3.282321
 - 	11	11.265623	-2.338102	3.754360
 - 	12	8.255241	-3.398279	4.200140
 - 	13	5.299049	-4.387872	4.542051
 - 	14	2.463842	-5.297535	4.701120
 - 	15	-0.180649	-6.119102	4.603575
 - 	16	-2.566984	-6.839961	4.211218
 - 	17	-4.633648	-7.442413	3.540744
 - 	18	-6.325096	-7.906594	2.651985
 - 	19	-7.592522	-8.214540	1.623057
 - 	20	-8.401588	-8.354576	0.545333
 - 	21	-8.745749	-8.325852	-0.464125
 - 	22	-8.655539	-8.141670	-1.271350
 - 	23	-8.197992	-7.830791	-1.767441
 - 	24	-7.469019	-7.437973	-1.908732
 - 	25	-6.581078	-7.025494	-1.728081
 - 	26	-5.644257	-6.675030	-1.323159
 - 	27	-4.741718	-6.485748	-0.830025
 - 	28	-3.905251	-6.561778	-0.383199
 - 	29	-3.096239	-6.984843	-0.073802
 - 	30	-2.198008	-7.778370	0.075394
 - 	31	-1.031202	-8.881720	0.108230
 - 	32	0.596640	-10.153771	0.111040
 - 	33	2.816959	-11.408145	0.179022
 - 	34	5.639423	-12.462017	0.385495
 - 	35	8.944082	-13.175739	0.760871
 - 	36	12.530125	-13.472389	1.284891
 - 	37	16.185757	-13.339412	1.893086
 - 	38	19.737530	-12.817926	2.493739
 - 	39	23.062981	-11.982761	2.989504
 - 	40	26.079926	-10.917026	3.298913
 - 	41	28.734968	-9.689651	3.372581
 - 	42	31.000551	-8.344950	3.197892
 - 	43	32.873997	-6.906610	2.791120
 - 	44	34.371189	-5.390502	2.185057
 - 	45	35.516556	-3.817793	1.422837
 - 	46	36.336407	-2.222941	0.562568
 - 	47	36.859306	-0.655431	-0.310035
 - 	48	37.120354	0.824279	-1.070153
 - 	49	37.163445	2.153862	-1.557884
 - 	50	37.038261	3.280309	-1.607819
 - 	51	36.793941	4.168069	-1.096592
 - 	52	36.473255	4.800970	0.012808
 - 	53	36.109322	5.179903	1.643827
 - 	54	35.723164	5.320793	3.596204
 - 	55	35.319721	5.254983	5.559728
 - 	56	34.884605	5.030101	7.175212
 - 	57	34.388260	4.708132	8.147608
 - 	58	33.800991	4.358678	8.360342
 - 	59	33.112049	4.046954	7.913653
 - 	60	32.338825	3.817475	7.056438
 - 	61	31.517029	3.677515	6.054255
 - 	62	30.673429	3.589002	5.072297
 - 	63	29.792450	3.477993	4.139996
 - 	64	28.797028	3.262270	3.213305
 - 	65	27.566349	2.883220	2.279034
 - 	66	25.989607	2.321947	1.410873
 - 	67	24.019341	1.592056	0.736598
 - 	68	21.684296	0.721977	0.360029
 - 	69	19.060043	-0.255253	0.306943
 - 	70	16.229900	-1.301873	0.523320
 - 	71	13.265141	-2.375273	0.908168
 - 	72	10.227646	-3.433686	1.347752
 - 	73	7.181540	-4.442541	1.731591
 - 	74	4.200975	-5.375390	1.957327
 - 	75	1.369938	-6.210139	1.942347
 - 	76	-1.223507	-6.924995	1.643384
 - 	77	-3.494652	-7.496865	1.069175
 - 	78	-5.368740	-7.902885	0.278321
 - 	79	-6.786789	-8.124691	-0.630826
 - 	80	-7.712999	-8.153637	-1.531878
 - 	81	-8.144556	-7.994632	-2.287161
 - 	82	-8.119772	-7.667623	-2.772161
 - 	83	-7.718786	-7.207639	-2.902318
 - 	84	-7.053703	-6.665245	-2.657765
 - 	85	-6.249435	-6.109120	-2.101932
 - 	86	-5.420536	-5.629865	-1.378798
 - 	87	-4.649502	-5.338932	-0.675233
 - 	88	-3.967989	-5.354419	-0.162194
 - 	89	-3.340635	-5.771398	0.054226
 - 	90	-2.655634	-6.625312	-0.043287
 - 	91	-1.733255	-7.864796	-0.381733
 - 	92	-0.365393	-9.350378	-0.817714
 - 	93	1.614960	-10.885265	-1.179002
 - 	94	4.263521	-12.265686	-1.316832
 - 	95	7.496107	-13.326151	-1.148235
 - 	96	11.119852	-13.962955	-0.672706
 - 	97	14.901993	-14.137455	0.035126
 - 	98	18.634043	-13.868723	0.845495
 - 	99	22.161797	-13.219368	1.602594
 - 	100	25.381687	-12.273182	2.163475
 - 	101	28.225851	-11.108776	2.435472
 - 	102	30.654322	-9.781067	2.393701
 - 	103	32.654102	-8.319177	2.072134
 - 	104	34.235992	-6.738366	1.539293
 - 	105	35.426579	-5.057013	0.875564
 - 	106	36.259388	-3.310824	0.162539
 - 	107	36.769630	-1.559987	-0.514855
 - 	108	36.994301	0.113429	-1.060433
 - 	109	36.976681	1.618890	-1.365756
 - 	110	36.770287	2.878183	-1.326570
 - 	111	36.437344	3.844764	-0.872295
 - 	112	36.042004	4.512822	0.009426
 - 	113	35.642467	4.913474	1.263924
 - 	114	35.283173	5.102631	2.768555
 - 	115	34.985680	5.147698	4.332882
 - 	116	34.740253	5.118043	5.719255
 - 	117	34.505894	5.079581	6.709605
 - 	118	34.225933	5.090518	7.198148
 - 	119	33.855129	5.194630	7.238778
 - 	120	33.380669	5.409896	6.996002
 - 	121	32.819550	5.714255	6.628366
