LINK_MODEL_BASED::PROCESSED::Left Knee Angles_filtered
File	Frame	X 	Y 	Z 
Running trial 1.c3d	1	29.732389	4.853585	-5.161182
 - 	2	35.087589	6.346893	-5.452154
 - 	3	39.582649	7.164271	-4.920609
 - 	4	42.628510	6.995843	-3.337848
 - 	5	44.075062	6.147659	-1.303673
 - 	6	44.164448	5.361294	0.147542
 - 	7	43.310829	5.229075	0.345944
 - 	8	41.859707	5.748363	-0.486723
 - 	9	39.985996	6.422155	-1.456142
 - 	10	37.754269	6.740431	-1.779177
 - 	11	35.224701	6.572664	-1.439374
 - 	12	32.489639	6.161507	-1.091937
 - 	13	29.647024	5.806213	-1.336610
 - 	14	26.785275	5.595486	-2.151500
 - 	15	23.995962	5.421934	-3.018032
 - 	16	21.376034	5.171989	-3.455401
 - 	17	19.023670	4.846074	-3.356791
 - 	18	17.067703	4.504453	-2.884350
 - 	19	15.702308	4.148200	-2.213716
 - 	20	15.145697	3.709924	-1.534908
 - 	21	15.547625	3.157250	-1.207713
 - 	22	16.973625	2.543919	-1.603621
 - 	23	19.470219	1.955813	-2.722333
 - 	24	23.068127	1.474009	-4.188065
 - 	25	27.690331	1.191512	-5.634866
 - 	26	33.098076	1.184819	-6.889319
 - 	27	38.952332	1.440470	-7.818936
 - 	28	44.921421	1.856938	-8.243012
 - 	29	50.745789	2.347411	-8.076314
 - 	30	56.252487	2.924659	-7.489280
 - 	31	61.362358	3.651736	-6.841067
 - 	32	66.099487	4.489534	-6.387860
 - 	33	70.556671	5.225356	-6.052603
 - 	34	74.790474	5.604067	-5.540225
 - 	35	78.710419	5.539241	-4.702592
 - 	36	82.069679	5.189312	-3.742462
 - 	37	84.579422	4.838472	-3.027430
 - 	38	86.046265	4.696868	-2.746027
 - 	39	86.419014	4.778761	-2.789574
 - 	40	85.742889	4.940618	-2.932423
 - 	41	84.104263	5.024879	-3.061973
 - 	42	81.606361	4.967914	-3.237486
 - 	43	78.344528	4.788666	-3.580914
 - 	44	74.372520	4.509903	-4.147577
 - 	45	69.702240	4.105400	-4.894765
 - 	46	64.349197	3.506982	-5.716281
 - 	47	58.377731	2.670219	-6.448319
 - 	48	51.908028	1.669753	-6.875726
 - 	49	45.102135	0.719688	-6.831610
 - 	50	38.164566	0.041336	-6.334249
 - 	51	31.363413	-0.297800	-5.603525
 - 	52	25.052696	-0.372192	-4.942142
 - 	53	19.668938	-0.248198	-4.613764
 - 	54	15.668571	0.076737	-4.756948
 - 	55	13.400859	0.588767	-5.279565
 - 	56	12.979570	1.202345	-5.847857
 - 	57	14.251437	1.826958	-6.128185
 - 	58	16.903788	2.437031	-6.051247
 - 	59	20.625858	3.051907	-5.743946
 - 	60	25.157879	3.699660	-5.296022
 - 	61	30.178886	4.416560	-4.731989
 - 	62	35.192596	5.189920	-4.078779
 - 	63	39.581257	5.848486	-3.296755
 - 	64	42.804344	6.126086	-2.265405
 - 	65	44.589775	5.946902	-1.011062
 - 	66	44.998421	5.574368	0.109468
 - 	67	44.331192	5.383512	0.619624
 - 	68	42.939854	5.531681	0.376582
 - 	69	41.076843	5.883205	-0.244645
 - 	70	38.877571	6.182895	-0.689602
 - 	71	36.423599	6.271589	-0.753403
 - 	72	33.783798	6.177877	-0.730904
 - 	73	31.018862	6.029808	-1.048167
 - 	74	28.190392	5.898694	-1.820988
 - 	75	25.382723	5.752180	-2.770066
 - 	76	22.714970	5.528040	-3.452002
 - 	77	20.329124	5.195653	-3.542568
 - 	78	18.370296	4.747452	-3.004208
 - 	79	16.983654	4.181051	-2.086825
 - 	80	16.318447	3.509006	-1.201790
 - 	81	16.518135	2.764589	-0.742260
 - 	82	17.701530	1.999012	-0.918077
 - 	83	19.940207	1.302441	-1.713991
 - 	84	23.230364	0.817039	-2.992035
 - 	85	27.473938	0.672736	-4.563618
 - 	86	32.481518	0.889306	-6.151001
 - 	87	37.992680	1.370548	-7.405601
 - 	88	43.713696	1.989249	-8.056396
 - 	89	49.373322	2.643605	-8.037287
 - 	90	54.778862	3.264897	-7.507040
 - 	91	59.848869	3.832432	-6.794179
 - 	92	64.609024	4.363612	-6.241588
 - 	93	69.145638	4.841878	-5.958791
 - 	94	73.521339	5.164019	-5.703856
 - 	95	77.679138	5.210403	-5.116551
 - 	96	81.395607	5.003898	-4.121643
 - 	97	84.345840	4.760778	-3.039416
 - 	98	86.253250	4.707687	-2.278341
 - 	99	86.995537	4.851783	-1.998390
 - 	100	86.587898	4.986348	-2.095228
 - 	101	85.107437	4.909111	-2.414315
 - 	102	82.650848	4.586764	-2.901014
 - 	103	79.327560	4.122025	-3.568839
 - 	104	75.246033	3.619004	-4.402491
 - 	105	70.489922	3.097916	-5.335947
 - 	106	65.112610	2.506165	-6.279859
 - 	107	59.158337	1.795799	-7.100202
 - 	108	52.688278	1.019360	-7.597073
 - 	109	45.803001	0.358189	-7.614729
 - 	110	38.671242	0.013431	-7.228927
 - 	111	31.559034	0.044082	-6.765002
 - 	112	24.844921	0.333636	-6.548282
 - 	113	19.015091	0.718464	-6.660696
 - 	114	14.610565	1.113568	-6.989861
 - 	115	12.092854	1.507539	-7.382233
 - 	116	11.666233	1.886435	-7.607372
 - 	117	13.178215	2.212673	-7.370678
 - 	118	16.207699	2.483700	-6.617107
 - 	119	20.301250	2.792808	-5.698581
 - 	120	25.134546	3.310257	-5.057748
 - 	121	30.423620	4.158523	-4.829596
 - 	122	35.722851	5.235233	-4.770023
 - 	123	40.404705	6.150647	-4.420778
 - 	124	43.883579	6.460837	-3.394516
 - 	125	45.871098	6.085004	-1.743259
 - 	126	46.459015	5.456440	-0.099312
 - 	127	45.999405	5.162443	0.731595
 - 	128	44.885757	5.434597	0.450855
 - 	129	43.382492	6.015461	-0.466825
 - 	130	41.589394	6.467433	-1.209671
 - 	131	39.511120	6.560771	-1.335113
 - 	132	37.148949	6.387223	-1.077842
 - 	133	34.551483	6.164772	-1.019571
 - 	134	31.803862	6.003895	-1.514649
 - 	135	28.995544	5.871069	-2.436625
 - 	136	26.219629	5.693937	-3.369588
 - 	137	23.587420	5.437691	-3.934151
 - 	138	21.223064	5.105072	-3.967960
 - 	139	19.266804	4.693038	-3.508027
 - 	140	17.903023	4.152979	-2.687958
 - 	141	17.348619	3.427740	-1.745010
 - 	142	17.779951	2.561128	-1.121890
 - 	143	19.288952	1.737861	-1.340514
 - 	144	21.912773	1.165405	-2.586689
 - 	145	25.653353	0.913082	-4.483002
 - 	146	30.427811	0.890472	-6.369150
 - 	147	36.011673	0.990113	-7.760108
 - 	148	42.058731	1.218312	-8.507400
 - 	149	48.197193	1.651534	-8.642380
 - 	150	54.131233	2.307858	-8.233772
 - 	151	59.689575	3.130613	-7.441110
 - 	152	64.825760	4.049513	-6.567760
 - 	153	69.594589	4.950587	-5.883492
 - 	154	74.088081	5.613298	-5.379179
 - 	155	78.318787	5.817039	-4.813611
 - 	156	82.125267	5.571507	-4.038304
 - 	157	85.206627	5.170908	-3.190412
 - 	158	87.273819	4.944977	-2.537112
 - 	159	88.178719	4.975378	-2.217006
 - 	160	87.925453	5.092768	-2.184182
 - 	161	86.605515	5.103870	-2.340287
 - 	162	84.335358	4.957928	-2.643229
 - 	163	81.219376	4.718890	-3.093768
 - 	164	77.333473	4.449320	-3.682283
 - 	165	72.730583	4.136041	-4.383023
 - 	166	67.460007	3.690075	-5.163552
 - 	167	61.579987	3.017893	-5.949262
 - 	168	55.159622	2.138072	-6.576626
 - 	169	48.295387	1.233181	-6.827841
 - 	170	41.151173	0.540973	-6.575492
 - 	171	33.987305	0.179207	-5.925351
 - 	172	27.163469	0.100144	-5.196308
 - 	173	21.139843	0.205708	-4.743682
 - 	174	16.446815	0.459358	-4.788903
 - 	175	13.550215	0.873891	-5.319427
 - 	176	12.653561	1.436539	-6.050042
 - 	177	13.608641	2.087039	-6.563511
 - 	178	16.038263	2.759939	-6.617861
 - 	179	19.564993	3.428024	-6.278123
 - 	180	23.919703	4.113210	-5.732150
 - 	181	28.831551	4.853724	-5.098331
 - 	182	33.856842	5.610115	-4.390491
 - 	183	38.373116	6.181781	-3.510783
 - 	184	41.774464	6.309707	-2.317754
 - 	185	43.714447	5.962211	-0.877885
 - 	186	44.222801	5.469454	0.368207
 - 	187	43.617470	5.270439	0.871710
 - 	188	42.276627	5.531057	0.496279
 - 	189	40.451111	6.043250	-0.290188
 - 	190	38.249649	6.452333	-0.835323
 - 	191	35.737560	6.548975	-0.922924
 - 	192	32.997681	6.380899	-0.919590
 - 	193	30.115908	6.134577	-1.321191
 - 	194	27.164600	5.941036	-2.254116
 - 	195	24.221352	5.793285	-3.402218
 - 	196	21.394262	5.602690	-4.265510
 - 	197	18.825911	5.297057	-4.467850
 - 	198	16.680355	4.871925	-3.973063
 - 	199	15.138417	4.364697	-3.103370
 - 	200	14.407022	3.797286	-2.333917
 - 	201	14.705820	3.167910	-2.047507
 - 	202	16.211090	2.498004	-2.413483
 - 	203	18.997923	1.857881	-3.367394
 - 	204	23.015732	1.334598	-4.668051
 - 	205	28.082296	1.004853	-6.037287
 - 	206	33.895042	0.957954	-7.270741
 - 	207	40.090626	1.277951	-8.211559
 - 	208	46.338730	1.920297	-8.679529
 - 	209	52.401127	2.661579	-8.530206
 - 	210	58.129341	3.286149	-7.828017
 - 	211	63.448845	3.792765	-6.906678
 - 	212	68.362679	4.322092	-6.156569
 - 	213	72.938690	4.908920	-5.688993
 - 	214	77.237656	5.387011	-5.244844
 - 	215	81.205154	5.550004	-4.506452
 - 	216	84.615265	5.382590	-3.479244
 - 	217	87.145462	5.107768	-2.490137
 - 	218	88.545181	4.988317	-1.843048
 - 	219	88.746674	5.094624	-1.593834
 - 	220	87.828262	5.275479	-1.665535
 - 	221	85.906601	5.323991	-2.034688
 - 	222	83.076736	5.141291	-2.712204
 - 	223	79.419350	4.753675	-3.633402
 - 	224	75.018204	4.221381	-4.676658
 - 	225	69.951050	3.571814	-5.747911
 - 	226	64.276581	2.819856	-6.767866
 - 	227	58.048080	2.025552	-7.608680
 - 	228	51.338634	1.303788	-8.107341
 - 	229	44.259712	0.753881	-8.144307
 - 	230	36.992207	0.382261	-7.713938
 - 	231	29.833942	0.127868	-6.960576
 - 	232	23.222942	-0.027985	-6.160916
 - 	233	17.699482	-0.012060	-5.635337
 - 	234	13.796388	0.266520	-5.603810
 - 	235	11.870584	0.811776	-6.022974
 - 	236	11.941062	1.506708	-6.532706
 - 	237	13.656999	2.163488	-6.683243
 - 	238	16.487686	2.631316	-6.304721
 - 	239	20.040062	2.919222	-5.612073
 - 	240	24.212645	3.255711	-4.982475
 - 	241	28.994427	3.979257	-4.710627
 - 	242	34.110645	5.223561	-4.827549
 - 	243	38.916885	6.621306	-4.939548
 - 	244	42.664665	7.444508	-4.346180
 - 	245	44.881714	7.235507	-2.636401
 - 	246	45.563004	6.310053	-0.302218
 - 	247	45.072670	5.520613	1.438567
 - 	248	43.858940	5.498579	1.677633
 - 	249	42.207592	6.163239	0.653216
 - 	250	40.209862	6.924973	-0.579040
 - 	251	37.888130	7.280573	-1.243713
 - 	252	35.294605	7.184978	-1.457023
 - 	253	32.519859	6.902444	-1.807720
 - 	254	29.672018	6.625130	-2.582449
 - 	255	26.866543	6.324266	-3.498218
 - 	256	24.219603	5.902466	-4.032032
 - 	257	21.837357	5.361082	-3.887691
 - 	258	19.818352	4.789127	-3.205899
 - 	259	18.293098	4.246099	-2.418296
 - 	260	17.466379	3.708491	-1.949049
 - 	261	17.585043	3.137397	-2.053090
 - 	262	18.843292	2.559406	-2.800337
 - 	263	21.329069	2.038751	-4.039042
 - 	264	25.028109	1.592838	-5.408805
 - 	265	29.797367	1.226962	-6.564088
 - 	266	35.321384	1.080825	-7.410539
 - 	267	41.183952	1.391537	-8.017437
 - 	268	47.048309	2.169106	-8.329524
 - 	269	52.746643	3.045315	-8.144491
 - 	270	58.195541	3.655599	-7.430489
 - 	271	63.311768	4.060019	-6.509241
 - 	272	68.059723	4.566543	-5.787437
 - 	273	72.500931	5.240380	-5.348825
 - 	274	76.701614	5.804061	-4.913099
 - 	275	80.583580	5.981044	-4.202223
 - 	276	83.888443	5.795117	-3.271962
 - 	277	86.293427	5.525419	-2.456048
 - 	278	87.574493	5.426015	-2.057170
 - 	279	87.682846	5.512717	-2.143748
 - 	280	86.693970	5.607120	-2.584745
 - 	281	84.712486	5.532959	-3.204362
 - 	282	81.824692	5.231191	-3.903891
 - 	283	78.101814	4.727973	-4.665151
 - 	284	73.612053	4.061142	-5.464508
 - 	285	68.424721	3.250024	-6.213166
 - 	286	62.613167	2.320899	-6.776791
